Sample	Mdl704	RA_20grp	RA_11grp	RA_6grp	PA_20grp	PA_11grp	PA_6grp	DAYNUM	X_coord	Y_coord	WA_hect	WA_ha_lg	M_Slope	M_Slp_sqt	Mareco	Wcrdeco	Bsnrgeco	Eco1	Eco3	Eco4	Eco9	Eco10	Eco11	Eco12	Eco78	Pcp_ann	Tmx_ann	Wetdays	Loolith	Maflith	Litho1	Litho2	Litho4	Litho5	Litho6	Litho7	Litho8	Elev_m	El_m_sqt	Strm_pwr	Strpw_lg
00012CSR	N							179	-123.94733	42.78835	6400.030773	3.806182062	0.3	0.547722558	1	0	0	1	0	0	0	0	0	0	0	3553	160	187	0	0	0	0	1	0	0	0	0	683	26.13426869	24.0000577	1.380212286
00012JDE	N							228	-121.00437	44.84498	3554.212341	3.550743371	2.1	1.449137675	0	0	1	0	0	0	0	1	0	0	0	289	171	72	0	1	0	0	0	0	0	1	0	689	26.2488095	125.1961518	2.09759098
00012REM	N							236	-121.90305	44.93659	1518.254217	3.181344496	5.2	2.28035085	0	1	0	0	0	1	0	0	0	0	0	1548	125	147	1	0	0	1	0	0	0	0	0	768	27.71281292	202.6168651	2.306675592
00012WSE	N							228	-117.36786	44.44785	18391.57812	4.264618996	1.5	1.224744871	0	1	0	0	0	0	0	0	1	0	0	357	162	74	0	0	0	0	1	0	0	0	0	764	27.64054992	203.4233289	2.308400757
00013GRD	N							199	-118.40193	45.26179	26802.69746	4.428178504	0.8	0.894427191	0	1	0	0	0	0	0	0	1	0	0	614	142	110	1	0	0	1	0	0	0	0	0	1020	31.93743885	130.9722351	2.117179239
00013REM	N							234	-122.19386	44.94743	3866.639202	3.58733365	1.5	1.224744871	0	1	0	0	0	1	0	0	0	0	0	2382	123	182	0	0	1	0	0	0	0	0	0	712	26.68332813	93.27345927	1.969758084
00014REM	N							235	-122.48786	43.56562	1269.764677	3.103723241	4.1	2.024845673	0	1	0	0	0	1	0	0	0	0	0	1469	157	153	0	0	1	0	0	0	0	0	0	599	24.4744765	146.0984059	2.164645477
00015CSR	N							188	-123.75468	45.54567	2483.709928	3.395100873	0.8	0.894427191	1	0	0	1	0	0	0	0	0	0	0	2898	156	199	0	1	0	0	0	0	0	1	0	78	8.831760866	39.86946644	1.600640424
00015REM	N							236	-122.31581	43.62585	569.563512	2.755542159	10.5	3.240370349	0	1	0	0	0	1	0	0	0	0	0	1504	147	155	0	0	1	0	0	0	0	0	0	795	28.19574436	250.5880628	2.398960379
00016CSR	N							187	-123.51698	45.58563	830.8728036	2.919534544	2.9	1.702938637	1	0	0	1	0	0	0	0	0	0	0	2876	144	201	0	0	0	0	1	0	0	0	0	208	14.4222051	83.59210655	1.92216527
00016GRD	N							201	-118.41799	45.26718	13963.94685	4.145008187	0.8	0.894427191	0	1	0	0	0	0	0	0	1	0	0	612	142	110	1	0	0	1	0	0	0	0	0	1033	32.14031736	94.53531608	1.975594081
00016JDE	N							227	-119.28981	44.20752	278.1774702	2.444321953	4.1	2.024845673	0	1	0	0	0	0	0	0	1	0	0	532	120	95	0	0	0	0	1	0	0	0	0	1607	40.08740451	68.38247783	1.834944833
00016REM	N							235	-122.71048	43.58841	1109.757515	3.045228094	4.7	2.167948339	0	1	0	0	0	1	0	0	0	0	0	1531	148	156	0	0	1	0	0	0	0	0	0	589	24.2693222	156.571209	2.194711905
00017CSR	N							187	-123.29884	44.70756	406.2940602	2.608840473	2.8	1.673320053	1	0	0	0	1	0	0	0	0	0	0	1458	170	149	0	1	0	0	0	0	0	1	0	124	11.13552873	56.43886455	1.751578268
00018CSR	N							188	-122.79698	44.96687	6036.715348	3.780800698	1.5	1.224744871	1	0	0	0	1	0	0	0	0	0	0	1170	167	147	0	1	0	0	0	0	0	1	0	87	9.327379053	116.544453	2.066491608
00018REM	N							234	-122.69236	43.731	8700.220614	3.939530265	2.5	1.58113883	0	1	0	0	0	1	0	0	0	0	0	1560	156	161	0	1	0	0	0	0	0	1	0	435	20.85665361	233.1874329	2.367705141
00019REM	N							242	-122.303	43.81904	1787.281254	3.2521929	8.6	2.93257566	0	1	0	0	0	1	0	0	0	0	0	1576	153	160	0	0	1	0	0	0	0	0	0	807	28.40774542	363.5757439	2.560594901
00021JDE	N							221	-118.73686	45.17224	16003.79278	4.204222919	2.3	1.516575089	0	1	0	0	0	0	0	0	1	0	0	651	130	110	0	1	0	0	0	0	0	1	0	1216	34.87119155	290.9640249	2.463839296
00022JDE	N							222	-118.66703	45.09314	2805.625872	3.448029758	2.8	1.673320053	0	1	0	0	0	0	0	0	1	0	0	773	116	116	0	1	0	0	0	0	0	1	0	1457	38.17066937	148.3108453	2.17117291
00022REM	N							241	-122.28875	43.88823	34340.08352	4.535801347	0.7	0.836660027	0	1	0	0	0	1	0	0	0	0	0	1723	151	165	1	0	0	1	0	0	0	0	0	638	25.25866188	129.7175429	2.112998714
00024JDE	N							227	-121.6422	45.1856	317.3629802	2.501556266	4.9	2.213594362	0	1	0	0	0	1	0	0	0	0	0	1092	115	123	1	0	0	1	0	0	0	0	0	1048	32.37282811	87.29195355	1.940974213
00025REM	N							241	-122.57708	44.85982	929.287303	2.968150003	2.1	1.449137675	0	1	0	0	0	1	0	0	0	0	0	2218	145	170	0	0	0	0	1	0	0	0	0	614	24.77902339	64.01684939	1.806294296
00026CSR	N							192	-123.985	44.08514	506.0218912	2.704169305	1.9	1.378404875	1	0	0	1	0	0	0	0	0	0	0	2114	164	164	0	0	0	0	1	0	0	0	0	55	7.416198487	42.74036765	1.630838254
00026REM	N							242	-122.55227	44.69756	11732.93026	4.069406489	1.1	1.048808848	0	1	0	0	0	1	0	0	0	0	0	1865	157	165	0	0	1	0	0	0	0	0	0	285	16.88194302	119.1505166	2.07609593
00027JDE	N							222	-120.15471	44.82247	4033.898819	3.605725001	4.7	2.167948339	0	1	0	0	0	0	0	0	1	0	0	387	160	79	0	0	0	0	1	0	0	0	0	758	27.5317998	298.511013	2.474960358
00028JDE	N							258	-121.55233	45.09674	1216.710692	3.085187325	3.2	1.788854382	0	1	0	0	0	0	1	0	0	0	0	842	136	109	0	1	0	0	0	0	0	1	0	882	29.69848481	111.620417	2.047743641
00029JDE	N							220	-120.10241	45.09761	12957.9397	4.112535955	4.5	2.121320344	0	0	1	0	0	0	0	1	0	0	0	385	151	85	0	1	0	0	0	0	0	1	0	817	28.58321186	512.2482591	2.709480491
00029REM	N							242	-122.10051	45.41623	4241.185514	3.627487269	2.8	1.673320053	0	1	0	0	0	1	0	0	0	0	0	2068	159	180	0	0	1	0	0	0	0	0	0	374	19.33907961	182.3482778	2.260901666
00030JDE	N							227	-118.49144	44.5756	4645.779445	3.667058588	1.7	1.303840481	0	1	0	0	0	0	0	0	1	0	0	496	137	107	0	1	0	0	0	0	0	1	0	1284	35.83294573	115.8719232	2.063978215
00032JDE	N							228	-118.4793	44.5319	3715.621847	3.570031508	2.3	1.516575089	0	1	0	0	0	0	0	0	1	0	0	633	130	113	0	1	0	0	0	0	0	1	0	1426	37.76241518	140.1985719	2.14674359
00032REM	N							241	-122.15582	44.74891	3068.040935	3.48686115	2.7	1.643167673	0	1	0	0	0	1	0	0	0	0	0	2103	147	164	0	0	1	0	0	0	0	0	0	493	22.20360331	149.5527279	2.174794339
00033CSR	N							200	-123.35186	45.17308	69.7542538	1.843570697	5.7	2.387467277	1	0	0	0	1	0	0	0	0	0	0	1337	169	141	0	0	0	0	1	0	0	0	0	158	12.56980509	47.60583689	1.677660204
00033REM	N							251	-121.93377	45.50837	8326.363741	3.920455379	2.4	1.549193338	0	1	0	0	0	1	0	0	0	0	0	2487	131	189	0	1	0	0	0	0	0	1	0	485	22.02271555	218.9973862	2.340438931
00034CSR	N							201	-123.55271	45.00054	196.1302546	2.292544592	10.3	3.209361307	1	0	0	1	0	0	0	0	0	0	0	1899	150	162	0	1	0	0	0	0	0	1	0	282	16.79285562	144.2479071	2.159109521
00035CSR	N							202	-123.7577	44.12679	14376.62712	4.157657009	0.4	0.632455532	1	0	0	1	0	0	0	0	0	0	0	1833	173	153	0	0	0	0	1	0	0	0	0	94	9.695359715	47.96102938	1.680888496
00036CSR	N							200	-123.68697	44.19705	242.9606816	2.385535997	3.3	1.816590212	1	0	0	1	0	0	0	0	0	0	0	2105	170	163	0	0	0	0	1	0	0	0	0	196	14	51.43774706	1.711281939
00037CSR	N							202	-123.6073	43.93039	41042.14091	4.613230007	0.1	0.316227766	1	0	0	1	0	0	0	0	0	0	0	1341	176	139	0	0	0	0	1	0	0	0	0	113	10.63014581	20.25886001	1.306615004
00040CSR	N							202	-123.42488	42.11138	1079.985428	3.033417896	8.1	2.846049894	0	1	0	0	0	0	0	0	0	0	1	1483	153	123	0	0	0	0	1	0	0	0	0	877	29.61418579	266.1913671	2.425193967
00042CSR	N							201	-123.48771	45.47423	1659.466495	3.219968488	2.2	1.483239697	1	0	0	1	0	0	0	0	0	0	0	2541	139	186	0	1	0	0	0	0	0	1	0	269	16.40121947	89.62040972	1.952406925
00043CSR	N							202	-123.52239	45.24599	598.9872378	2.777417569	6.2	2.48997992	1	0	0	1	0	0	0	0	0	0	0	2571	149	186	0	1	0	0	0	0	0	1	0	483	21.97726098	151.7401378	2.181100474
00047CSR	N							195	-123.77965	44.75645	699.8572546	2.845009469	0.7	0.836660027	1	0	0	1	0	0	0	0	0	0	0	2217	159	167	0	0	0	0	1	0	0	0	0	78	8.831760866	18.51837074	1.267602774
00050CSR	N							193	-122.58408	44.37731	124.8191	2.096281047	3.7	1.923538406	0	1	0	0	0	1	0	0	0	0	0	1448	166	152	0	0	1	0	0	0	0	0	0	353	18.78829423	41.3373134	1.616342247
00052CSR	N							208	-123.85045	44.26118	655.980003	2.8168906	1	1	1	0	0	1	0	0	0	0	0	0	0	2128	176	160	0	0	0	0	1	0	0	0	0	104	10.19803903	25.61210657	1.4084453
00053CSR	N							207	-123.55008	44.33821	9519.822071	3.978628831	1	1	1	0	0	1	0	0	0	0	0	0	0	2105	165	164	0	1	0	0	0	0	0	1	0	160	12.64911064	97.56957554	1.989314416
00054CSR	N							208	-123.92975	44.58077	156.8140588	2.195384996	1.9	1.378404875	1	0	0	1	0	0	0	0	0	0	0	1864	152	163	0	0	0	0	1	0	0	0	0	20	4.472135955	23.79282985	1.376446099
00056CSR	N							207	-123.79067	42.65824	311.0690226	2.492856765	6.7	2.588435821	0	1	0	0	0	0	0	0	0	0	1	3886	169	187	0	0	0	0	1	0	0	0	0	798	28.24889378	118.1688979	2.072503185
00057CSR	N							208	-123.39502	42.78007	1532.12876	3.185295265	2.4	1.549193338	0	1	0	0	0	0	0	0	0	0	1	1058	156	123	0	0	1	0	0	0	0	0	0	487	22.06807649	93.94179932	1.972858874
00058CSR	N							206	-122.78071	44.90142	395.41558	2.597053777	0.8	0.894427191	1	0	0	0	1	0	0	0	0	0	0	1295	167	149	0	0	0	0	1	0	0	0	0	186	13.6381817	15.90804737	1.201616876
00061CSR	N							209	-122.59408	45.01194	7637.772169	3.882966699	2.7	1.643167673	0	1	0	0	0	1	0	0	0	0	0	1567	161	154	0	0	0	0	1	0	0	0	0	209	14.45683229	235.9647412	2.372847114
00062CSR	N							209	-123.99987	43.11054	3219.297004	3.507761045	0.6	0.774596669	1	0	0	1	0	0	0	0	0	0	0	1635	182	145	0	0	0	0	1	0	0	0	0	26	5.099019514	34.0433095	1.532031773
00070CSR	N							215	-122.83025	44.41375	308.5451278	2.489318693	14.5	3.807886553	2	0	0	1	1	0	0	0	0	0	0	1325	168	155	0	1	0	0	0	0	0	1	0	211	14.52583905	254.6990638	2.406027349
00071CSR	N							214	-122.00016	44.56985	9940.867847	3.9974243	1.9	1.378404875	0	1	0	0	0	1	0	0	0	0	0	2028	136	162	0	0	1	0	0	0	0	0	0	842	29.01723626	189.4374116	2.277465751
00072REF	N							214	-117.39705	45.87753	9244.704591	3.965893038	2.5	1.58113883	0	0	1	0	0	0	0	1	0	0	0	558	140	110	0	1	0	0	0	0	0	1	0	693	26.32489316	240.3734671	2.380886528
00073REF	N							215	-117.11924	45.69755	48637.44828	4.686970782	0.7	0.836660027	0	0	1	0	0	0	0	1	0	0	0	457	148	101	0	1	0	0	0	0	0	1	0	1017	31.89043744	154.3772964	2.188583431
00074REF	N							220	-118.27829	45.49685	19718.43104	4.294872356	2	1.414213562	0	1	0	0	0	0	0	0	1	0	0	895	132	124	0	1	0	0	0	0	0	1	0	803	28.33725463	280.844662	2.448466174
00075REF	N							222	-118.17872	45.72648	7924.008057	3.898944908	2.1	1.449137675	0	1	0	0	0	0	0	0	1	0	0	877	132	121	0	1	0	0	0	0	0	1	0	728	26.98147513	186.9354849	2.271691749
00076REF	N							221	-118.30367	45.59289	2255.910013	3.353321772	3.4	1.843908891	0	1	0	0	0	0	0	0	1	0	0	785	132	117	0	1	0	0	0	0	0	1	0	785	28.01785145	161.4878316	2.208139803
00078REF	N							223	-118.87895	44.26448	4121.959604	3.615103731	2.3	1.516575089	0	1	0	0	0	0	0	0	1	0	0	526	127	98	0	1	0	0	0	0	0	1	0	1378	37.12142239	147.6657249	2.169279702
00079REF	N							222	-119.7032	44.37137	498.3733328	2.697554796	5.5	2.34520788	0	1	0	0	0	0	0	0	1	0	0	660	110	97	0	1	0	0	0	0	0	1	0	1608	40.09987531	122.7835222	2.089140087
00080REF	N							221	-118.58938	44.98192	7486.941335	3.87430443	1	1	0	1	0	0	0	0	0	0	1	0	0	763	113	117	0	0	1	0	0	0	0	0	0	1522	39.01281841	86.52711329	1.937152215
00083REF	N							229	-117.19158	45.02467	1391.963587	3.143627875	17	4.123105626	0	1	0	0	0	0	0	0	1	0	0	1318	105	132	0	1	0	0	0	0	0	1	0	1610	40.1248053	634.2534798	2.802262859
00085REF	N							229	-118.55654	44.41429	7478.16111	3.873794817	1.8	1.341640786	0	1	0	0	0	0	0	0	1	0	0	504	138	99	0	1	0	0	0	0	0	1	0	1248	35.32704347	155.6574508	2.192169914
00086CSR	N							250	-123.47026	44.19884	222.3406472	2.347018865	2.1	1.449137675	1	0	0	1	0	0	0	0	0	0	0	1768	176	157	0	0	0	0	1	0	0	0	0	222	14.89966443	31.31329197	1.495728727
00092CSR	N							257	-122.67852	43.62087	256.510331	2.409104861	17.3	4.159326869	0	1	0	0	0	1	0	0	0	0	0	1806	142	169	0	0	1	0	0	0	0	0	0	854	29.22327839	277.0757603	2.442598534
00096REF	N							257	-117.98172	45.78903	2330.642061	3.36747558	4.7	2.167948339	0	1	0	0	0	0	0	0	1	0	0	1126	111	135	0	1	0	0	0	0	0	1	0	1140	33.76388603	226.9006018	2.355835648
00097REF	N							258	-118.03619	45.84895	7340.252795	3.865711017	2.6	1.61245155	0	1	0	0	0	0	0	0	1	0	0	1164	120	134	0	1	0	0	0	0	0	1	0	884	29.73213749	222.7557157	2.347828857
00100REF	N							255	-121.49634	44.94279	8939.879355	3.951331658	1.7	1.303840481	0	1	0	0	0	0	1	0	0	0	0	547	156	88	1	0	0	1	0	0	0	0	0	790	28.10693865	160.7365899	2.20611475
00101REF	N							258	-116.81043	45.50677	68988.9355	4.838779444	1	1	0	0	1	0	0	0	0	1	0	0	0	408	133	90	0	1	0	0	0	0	0	1	0	683	26.13426869	262.657449	2.419389722
00103CSR	N							265	-124.28189	43.02058	282.8412944	2.451542816	2.6	1.61245155	1	0	0	1	0	0	0	0	0	0	0	1770	175	144	0	0	0	0	1	0	0	0	0	137	11.70469991	43.72650398	1.640744756
01000GRD	N							270	-118.42751	45.26978	12188.19872	4.085939527	0.6	0.774596669	0	1	0	0	0	0	0	0	1	0	0	614	142	110	0	1	0	0	0	0	0	1	0	1044	32.31098884	66.24010522	1.821121014
01001JDE	N							200	-118.64266	44.33318	114.2642998	2.057910563	15.8	3.974921383	0	1	0	0	0	0	0	0	1	0	0	796	128	112	0	1	0	0	0	0	0	1	0	1732	41.61730409	168.8932793	2.227612368
01001PNE	N							192	-120.42793	44.90983	16423.94156	4.215477391	1.7	1.303840481	0	1	0	0	0	0	0	0	1	0	0	249	166	72	0	0	0	0	1	0	0	0	0	426	20.63976744	217.8650754	2.338187617
01002JDE	N							204	-119.60913	45.09654	5844.765016	3.766767055	1	1	0	1	0	0	0	0	0	0	1	0	0	476	127	90	0	0	1	0	0	0	0	0	0	1060	32.55764119	76.45106288	1.883383528
01002PNE	N							191	-120.40553	44.91207	15111.92814	4.17931988	1.9	1.378404875	0	1	0	0	0	0	0	0	1	0	0	245	166	71	0	0	0	0	1	0	0	0	0	468	21.63330765	233.568107	2.368413541
01003CSR	N							226	-123.41594	45.29379	442.5223488	2.645935209	1.3	1.140175425	1	0	0	1	0	0	0	0	0	0	0	2645	139	179	0	1	0	0	0	0	0	1	0	572	23.91652149	27.34707972	1.436910957
01003JDE	N							192	-119.15001	45.02467	1723.948407	3.236524264	9.7	3.1144823	0	1	0	0	0	0	0	0	1	0	0	484	138	96	0	1	0	0	0	0	0	1	0	1020	31.93743885	402.7484396	2.605033866
01003PNE	N							192	-120.38513	44.91087	10900.00371	4.037426646	1.6	1.264911064	0	1	0	0	0	0	0	0	1	0	0	268	168	73	0	0	0	0	1	0	0	0	0	506	22.49444376	167.0449325	2.222833305
01004JDE	N							198	-118.72916	44.65401	233.6411252	2.368549289	9.5	3.082207001	0	1	0	0	0	0	0	0	1	0	0	537	138	101	0	0	1	0	0	0	0	0	0	1328	36.44173432	145.2105766	2.16199825
01004PNE	N							191	-120.37407	44.91045	10720.12988	4.030200047	3	1.732050808	0	1	0	0	0	0	0	0	1	0	0	292	170	74	0	0	0	0	1	0	0	0	0	523	22.86919325	310.6141801	2.492221278
01005PNE	N							191	-120.33452	44.90218	8883.738273	3.948595755	2.1	1.449137675	0	1	0	0	0	0	0	0	1	0	0	342	169	78	0	0	1	0	0	0	0	0	0	617	24.8394847	197.9325284	2.296517172
01006JDE	N							199	-119.1757	44.30671	1114.598149	3.047118317	2.7	1.643167673	0	1	0	0	0	0	0	0	1	0	0	528	121	96	0	0	0	0	1	0	0	0	0	1439	37.93415348	90.14111441	1.954922923
01006PNE	N							191	-120.27586	44.90565	3862.950868	3.586919184	2.9	1.702938637	0	1	0	0	0	0	0	0	1	0	0	399	157	82	0	0	0	0	1	0	0	0	0	754	27.45906044	180.2426609	2.25585759
01007CSR	N							184	-123.91853	45.33984	222.4539352	2.347240093	4.4	2.097617696	1	0	0	1	0	0	0	0	0	0	0	2266	157	179	0	0	0	0	1	0	0	0	0	105	10.24695077	65.62551474	1.817072723
01008JDE	N							199	-118.80173	44.71076	1645.160244	3.216208206	2.8	1.673320053	0	1	0	0	0	0	0	0	1	0	0	417	144	93	0	0	0	0	1	0	0	0	0	1097	33.12099032	113.56961	2.055262134
01009JDE	N							200	-119.25701	44.3756	75.9409924	1.880476268	20.6	4.538722287	0	1	0	0	0	0	0	0	1	0	0	433	137	91	0	0	0	0	1	0	0	0	0	1287	35.87478223	179.516906	2.254105354
01010CSR	N							248	-123.70673	45.62134	1775.357692	3.249285866	1.9	1.378404875	1	0	0	1	0	0	0	0	0	0	0	3499	148	212	0	1	0	0	0	0	0	1	0	203	14.24780685	80.05648798	1.903396534
01012JDE	N							205	-119.51807	44.09689	4128.90254	3.615834632	1.6	1.264911064	0	1	0	0	0	0	0	0	1	0	0	448	142	84	0	0	0	0	1	0	0	0	0	1320	36.33180425	102.8104591	2.012037299
01013CSR	N							275	-123.45127	45.43462	3744.340355	3.573375319	1.8	1.341640786	1	0	0	1	0	0	0	0	0	0	0	2281	138	177	0	1	0	0	0	0	0	1	0	399	19.97498436	110.1438276	2.041960164
01013JDE	N							199	-118.67658	44.39839	4380.385311	3.641512314	2.2	1.483239697	0	1	0	0	0	0	0	0	1	0	0	458	149	95	1	0	0	1	0	0	0	0	0	1240	35.21363372	145.6058546	2.163178838
01015JDE	N							198	-118.54477	44.67166	83.8824812	1.923671268	11.8	3.435112807	0	1	0	0	0	0	0	0	1	0	0	744	119	119	0	0	0	0	1	0	0	0	0	1680	40.98780306	108.073108	2.033717641
01016JDE	N							191	-119.29883	44.97169	2971.706889	3.473005971	3.8	1.949358869	0	1	0	0	0	0	0	0	1	0	0	350	163	87	0	1	0	0	0	0	0	1	0	751	27.40437921	207.1507844	2.316286582
01017JDE	N							205	-120.21026	44.62178	36350.27671	4.560507721	1.5	1.224744871	0	1	0	0	0	0	0	0	1	0	0	294	173	68	0	0	1	0	0	0	0	0	0	670	25.88435821	285.986228	2.45634512
01018JDE	N							213	-118.66512	45.05127	718.8706224	2.856650736	2.1	1.449137675	0	1	0	0	0	0	0	0	1	0	0	745	114	115	0	0	0	0	1	0	0	0	0	1420	37.68288736	56.3047018	1.750544663
01019JDE	N							205	-119.80279	44.99814	356.2733622	2.551783352	2.4	1.549193338	0	1	0	0	0	0	0	0	1	0	0	512	119	87	0	0	0	0	1	0	0	0	0	1223	34.9714169	45.3004919	1.656102918
01020JDE	N							198	-119.29982	44.61771	32178.93932	4.507571725	3.9	1.974841766	0	1	0	0	0	0	0	0	1	0	0	422	138	89	0	1	0	0	0	0	0	1	0	1201	34.6554469	699.6010771	2.844850469
01021CSR	N							190	-123.96356	44.9892	51.011968	1.707672079	4.2	2.049390153	1	0	0	1	0	0	0	0	0	0	0	2335	152	170	0	1	0	0	0	0	0	1	0	88	9.38083152	29.99751849	1.47708533
01022JDE	N							206	-120.11022	44.95417	1201.386872	3.079682882	3.6	1.897366596	0	1	0	0	0	0	0	0	1	0	0	440	141	85	0	0	0	0	1	0	0	0	0	1020	31.93743885	124.7797013	2.096143942
01023CSR	N							227	-123.50679	43.88247	34581.70376	4.538846386	0.2	0.447213595	1	0	0	1	0	0	0	0	0	0	0	1248	175	138	0	0	0	0	1	0	0	0	0	169	13	37.19231305	1.570453189
01023JDE	N							197	-118.57806	44.6223	41118.31131	4.61403527	0.2	0.447213595	0	1	0	0	0	0	0	0	1	0	0	476	137	103	0	0	1	0	0	0	0	0	0	1205	34.71310992	40.55530116	1.608047631
01024JDE	N							205	-119.35128	44.1997	3862.632852	3.58688343	2.3	1.516575089	0	1	0	0	0	0	0	0	1	0	0	495	130	92	0	0	0	0	1	0	0	0	0	1431	37.82856064	142.9451916	2.155169551
01025CSR	N							226	-123.88961	43.94707	1066.514676	3.027966836	0.3	0.547722558	1	0	0	1	0	0	0	0	0	0	0	2257	162	171	0	0	0	0	1	0	0	0	0	204	14.28285686	9.797260884	0.991104673
01025JDE	N							253	-121.41462	45.20416	1601.925902	3.204642424	0.5	0.707106781	0	1	0	0	0	0	1	0	0	0	0	493	152	89	0	1	0	0	0	0	0	1	0	734	27.09243437	20.01203327	1.301291216
01026JDE	N							200	-118.7868	44.84825	312.1622518	2.494380385	10.3	3.209361307	0	1	0	0	0	0	0	0	1	0	0	680	118	109	1	0	0	0	0	0	1	0	0	1664	40.79215611	181.981574	2.260027417
01027CSR	N							233	-124.20932	42.94164	469.070987	2.671238572	2.7	1.643167673	1	0	0	1	0	0	0	0	0	0	0	1531	177	133	0	0	0	0	1	0	0	0	0	98	9.899494937	58.4767261	1.76698305
01031GRD	N							260	-118.40174	45.26248	14768.93901	4.169349297	1.3	1.140175425	0	1	0	0	0	0	0	0	1	0	0	614	142	110	1	0	0	1	0	0	0	0	0	1020	31.93743885	157.9857808	2.198618001
01032WSE	N							235	-122.85016	43.69977	1044.106309	3.01874472	2.5	1.58113883	0	1	0	0	0	1	0	0	0	0	0	1419	168	156	0	1	0	0	0	0	0	1	0	311	17.63519209	80.78158474	1.907312369
01033WSE	N							183	-123.61998	45.8592	60.0988794	1.778866374	8.7	2.949576241	1	0	0	1	0	0	0	0	0	0	0	3224	147	212	0	0	0	0	1	0	0	0	0	182	13.49073756	67.44541631	1.82895244
01034WSE	N							193	-119.44609	45.3681	7904.42218	3.897870128	1.4	1.183215957	0	0	1	0	0	0	0	1	0	0	0	371	161	92	0	1	0	0	0	0	0	1	0	719	26.81417536	124.4695444	2.0950631
01036CSR	N							219	-124.18823	42.97443	200.94459	2.303076318	4.5	2.121320344	1	0	0	1	0	0	0	0	0	0	0	1348	180	127	0	0	0	0	1	0	0	0	0	87	9.327379053	63.78971663	1.804750673
01036WSE	N							177	-120.53277	42.56856	255.7723406	2.407853578	11.6	3.405877273	0	1	0	0	0	0	1	0	0	0	0	708	148	92	0	0	1	0	0	0	0	0	0	1693	41.14608122	185.5174551	2.268384778
01037CSR	N							221	-124.01771	43.05014	452.8635202	2.655967338	2.7	1.643167673	1	0	0	1	0	0	0	0	0	0	0	1577	181	141	0	0	0	0	1	0	0	0	0	70	8.366600265	57.4575936	1.759347433
01038WSE	N							191	-116.85653	45.11452	420.6711166	2.623942694	5.9	2.42899156	0	1	0	0	0	0	0	0	1	0	0	950	122	114	0	1	0	0	0	0	0	1	0	1480	38.47076812	121.0105845	2.082823359
01039WSE	N							206	-121.60091	44.13839	2191.487983	3.340739093	5.6	2.366431913	0	1	0	0	0	0	1	0	0	0	0	1053	112	113	0	0	1	0	0	0	0	0	0	1667	40.82891133	262.154655	2.418557574
01040WSE	N							214	-122.79673	44.96672	6035.944585	3.780745244	1.5	1.224744871	1	0	0	0	1	0	0	0	0	0	0	1170	167	147	0	1	0	0	0	0	0	1	0	86	9.273618495	116.5370126	2.066463881
01041CSR	N							241	-123.9548	43.49348	147.405895	2.168514852	3.6	1.897366596	1	0	0	1	0	0	0	0	0	0	0	2059	173	167	0	0	0	0	1	0	0	0	0	314	17.72004515	43.70789859	1.640559927
01041WSE	N							249	-123.71855	45.68971	119.2263142	2.076372118	4.2	2.049390153	1	0	0	1	0	0	0	0	0	0	0	3571	148	212	0	1	0	0	0	0	0	1	0	126	11.22497216	45.86013718	1.66143535
01042WSE	N							193	-119.20996	45.24534	2990.774069	3.475783606	4.5	2.121320344	0	1	0	0	0	0	0	0	1	0	0	605	115	103	0	0	1	0	0	0	0	0	0	1119	33.45145737	246.0958653	2.391104317
01044WSE	N							192	-117.42425	44.89848	2380.875174	3.376736626	3.2	1.788854382	0	1	0	0	0	0	0	0	1	0	0	756	138	105	0	1	0	0	0	0	0	1	0	1022	31.96873473	156.14148	2.193518292
01050CSR	N							235	-123.63648	43.60739	818.9330576	2.913248402	0.7	0.836660027	1	0	0	1	0	0	0	0	0	0	0	1418	182	135	0	0	0	0	1	0	0	0	0	76	8.717797887	20.03190451	1.301722241
01051CSR	N							225	-123.72567	43.63609	1804.842512	3.256439312	1.7	1.303840481	1	0	0	1	0	0	0	0	0	0	0	1426	182	139	0	0	0	0	1	0	0	0	0	53	7.280109889	72.22184476	1.858668577
01056CSR	N							234	-123.12806	42.8853	587.1975984	2.768784271	11.1	3.33166625	0	1	0	0	0	0	0	0	0	0	1	1279	172	137	0	0	0	0	1	0	0	0	0	550	23.4520788	268.9769806	2.429715114
01065CSR	N							242	-122.63076	42.62422	2532.513994	3.403551854	3.3	1.816590212	0	1	0	0	0	1	0	0	0	0	0	970	176	119	0	1	0	0	0	0	0	1	0	765	27.65863337	166.0694957	2.220289867
01066CSR	N							260	-123.64835	42.4993	443.6839554	2.647073724	2.2	1.483239697	0	1	0	0	0	0	0	0	0	0	1	1152	158	114	0	0	0	0	1	0	0	0	0	447	21.14237451	46.34037488	1.665959543
01067CSR	N							261	-123.80319	42.47432	5307.564244	3.72489526	2	1.414213562	0	1	0	0	0	0	0	0	0	0	1	2846	168	166	0	0	1	0	0	0	0	0	0	447	21.14237451	145.7060636	2.163477625
01069CSR	N							234	-124.31648	42.44625	779.9259762	2.892053385	4.6	2.144761059	0	1	0	0	0	0	0	0	0	0	1	2706	181	141	0	0	0	0	1	0	0	0	0	403	20.0748599	128.4649122	2.108784524
